n#03277459	balanza_electrónica
a#00805309	enérgico vital
v#01887020	rodar
a#01133017	bajo despreciable
n#09979321	crítico
n#13011679	lámina
n#10144571	gul
n#02419796	antilope antílope
n#02640242	acipenseridae
v#00311980	obscurecer sombrear
v#02388950	socializar
n#01528542	Anthus género_Anthus
v#02464866	firmar
n#04324387	almacén
n#13275847	coste costo
r#00229963	incompetentemente
n#02177376	Gyrinidae familia_Gyrinidae
n#10025391	donatista
n#07192129	demanda llamada llamado reclamo
v#00831651	informar
n#00082081	compra
n#08127304	Servicio_Postal_de_los_Estados_Unidos
n#14000105	aprisionamiento
v#02193194	detectar discernir distinguir reconocer sentir
a#01596809	insólito irregular
v#00082081	auxilio ayuda ayudar
n#09954804	confidenta
n#03054901	embrague
n#06893772	musical
n#06539502	auto_judicial
n#14372399	venganza_de_Montezuma
a#02722801	esofágico
n#14559983	epifisiólisis genu_valgum tibia_vaga
a#01139613	elegante
v#02261464	comisionar
a#00370869	azul
a#02553017	seco
n#03804311	nadolol
n#06952400	sajón_antiguo
n#10036692	batonista majorette
a#00895442	ambiguo
n#01965747	Pectinidae familia_Pectinidae
a#01219279	alpino
n#10975404	Cecil_Scott_Forester
n#09143973	Del_Río
n#01829288	Buceros género_Buceros
n#08681222	curso trazado
n#15299367	6_de_agosto Transfiguración transfiguración
n#80000862	audiolibro
a#00286837	liberal
n#03085219	monitor pantalla_de_ordenador
n#02528163	pez_teleósteo teleostei teleósteo
n#11133387	Howard_Lindsay
v#00788184	interrogar
a#02842981	sociolingüística sociolingüístico
n#00611972	política
a#02096382	abierto suelto
n#13895549	bache
n#06166394	lógica_doxástica
n#10940669	Fyodor_Dostoevsky
a#02807249	sintomático
n#10000945	delincuente
v#02534492	festejar
n#03543511	centro_de_actividades
n#06671484	advertencia advice consejo
n#08365484	capitalismo_de_estado
n#12936999	daucus género_daucus
n#11327163	Algernon_Charles_Swinburne
n#05183624	libertad_de_religión
n#13632164	yobibyte yottabyte
r#00246672	por_escrito sobre_el_papel
n#10491575	editor
a#00721838	indudable innegable
v#01199213	inyectar
n#09777353	agente
n#03767745	alminar minarete
a#03053199	carmelita
n#11068760	John_Huston
a#01366718	alegre
v#02763609	agitarse titilar
a#01268426	solemne
n#04536866	violín
v#00247390	multiplicar
n#07142566	conferencia congreso
v#01082454	recoger
n#07281871	sprechgesang
n#08271042	galaxia
n#10471250	sacerdote
n#10735984	árbitro
n#13994806	autorización licencia permiso
a#02753724	jurídico
n#07237409	inculpación
n#04919458	alusión
n#09542868	incubo
n#00862595	termotropismo
n#00293657	caminata excursión paseo
n#10000787	delegado
n#12434239	allium_porrum
n#01381044	streptococcus
n#09784306	alergista alergólogo
n#04642258	irritabilidad
n#10085101	perista
n#06733682	conminación
n#10552639	satélite
n#80000819	lenguaje_no_determinista
n#00178832	expediente_termporal improvisación
n#15077917	betaglobulina siderofilina transferrina
a#00560900	amistoso
n#02333733	rata_de_alcantarilla rata_noruega
n#11325265	Thomas_Sully
n#10382480	ordinario
v#00650353	diferenciar distinguir
n#10823760	Matthew_Arnold
n#02964196	mesa_de_cartas
v#00702065	renovar
n#00298351	turismo_ecológico
v#00460900	detener diferir retrasar
n#01017701	suspensión
n#09160168	Rock_Springs
n#07867164	faláfel
n#10872505	Anthony_Burgess
n#13743605	par pareja
n#01410457	espuma_de_estanque
n#00221727	parricidio
n#07176073	aceptación
n#10306496	megalomaníaco
n#14341001	corditis
n#09770179	aide-de-camp ayudante
n#07030012	variación
a#02831478	lisogénico
n#03600977	juntura
v#00593522	deducir
a#02208971	octagésimo octogésimo
v#00712135	calcular estimar prever
n#14422871	desarrollo
a#01670669	corporativo
n#11844371	carnegiea_gigantea
n#14524383	turbulencia
n#04015204	protección protector
n#05716577	dulcedumbre dulzor dulzura sabor_dulce
a#02174896	sencillo simple
n#01851996	Aix género_Aix
v#02619291	aguantar_más quedarse_más_tiempo tener_más_aguante
r#00206749	pausadamente
n#01780551	Trombiculidae familia_Trombiculidae
n#00139758	intercepción
n#13813483	relación_política_filial
v#02692089	estar_fondeado fondear
n#11031016	Zellig_Harris
n#07476623	paliza
n#01666102	Chelydra género_Chelydra
n#09290444	garganta
n#01338333	echovirus
n#10757193	visitante
a#00307474	incapaz
r#00169008	sin_fin sin_parar
n#06500937	pasaporte
n#08612786	contorno perfil
n#12069679	himantoglossum_hircinum lizard_orchid orquídea_del_lagarto
n#10843035	Hilaire_Belloc
n#06549318	declaración_incorrecta
a#02534417	sin_encerar
n#10270383	lolita
v#02720544	seguir
n#13736799	mitad
n#13051196	género_neolentinus neolentinus
n#07429976	invasión
v#01769902	impresionar
n#10203016	indizador
n#03410423	cangreja vela_cangreja
n#01044448	devoción
n#01817346	loro_doméstico
v#00396035	añadir incorporar
n#07834872	aliño_ruso mayonesa_rusa
n#07907161	irlandés whiskey_irlandés whisky_irlandés
n#00926668	confección
n#08115912	Facultad_de_Biología
n#04728068	cualidad
n#05067514	diestro
a#01278818	excepcional
v#01395945	cromado cromar placa_cromada
n#09174718	Monte_Etna
n#15095014	cera_ghedda
n#05440207	operón
n#13598408	gúgol
v#01298668	separar
n#01250335	asesinato asesinato_mafioso golpe homicidio
n#07617611	mousse_de_chocolate
a#02853434	mastoidal mastoide
n#03972524	bolsillo
n#03404360	gorro_de_piel sombrero_de_piel
a#02771079	onírico
n#05984936	cultura
n#00281898	ondeo rodeo vuelta
a#00777650	disponible utilizable
n#02768226	tablero
v#01062395	establecer
n#09543924	kelpie
n#07216615	compensación
n#06383819	epitalamio
n#06071722	astrobiología
n#01636984	Aneides género_Aneides
n#07527656	euforia
v#01282023	agujerear
n#06377442	poema poesía verso
n#01370142	género_Shigella
n#03239726	taladradora
a#02768611	nestoriano
n#08479615	revista revista_militar
a#00578662	irregular
n#04953954	brillo esplendor radiancia_espectral resplandor
n#09780249	auxiliar ayudante
n#04083113	reticulación
n#03262349	pendiente
a#03108429	cincuecentenario quincentenario
n#02456147	Chlamyphorus género_Chlamyphorus
v#01025602	colar incluir insertar introducir_subrepticiamente meterse
v#02121423	picar
a#03130689	de_lana lanudo
n#01090018	suscripción
n#08609131	Parque_Nacional_Shenandoah
n#07862348	costillar_asado costillas_asadas costillas_de_cerdo
n#02899569	puente
n#07630667	babka
v#02564546	entronar
n#06052864	neurología
n#14106352	aneurisma_aórtico
n#08264897	compañía partida
v#01547925	quedarse_despierto yacer_despierto
n#10632576	especialista
a#01531957	intermedio mediano medio
n#01364162	Vibrio vibrión
n#04601473	explotación
v#01802689	atormentar torturar
n#07416308	rectificación
v#00922438	distinguir señalar señalizar
n#10705345	thatcherismo thatcherista
n#09549983	Estérope
a#01141743	gracioso
n#13653349	codo
n#05401753	sangre_espesa
n#11172795	Herman_Melville Melville
v#02490004	tomar_por_esposa
n#01046006	demonolatría veneración_de_demonios
v#02344568	despojar
a#00546646	preciso
n#05777439	necromancia
n#06544841	testamento_vital
v#02039413	ladear
n#08208016	personal plantilla
n#10289969	mandatario
n#10854146	Giovanni_Boccaccio
v#00062067	trepanar
n#80000922	incidència
a#02673139	cadavérico
v#01060317	echar
a#01491775	maduro
n#02660412	Hippoglossus género_Hippoglossus
n#02122725	gato
n#01454260	Fistulariidae familia_Fistulariidae
r#00036609	extensivamente
n#05119714	desmán exceso plétora
n#05655119	sentido_del_tacto tacto
n#09636796	negra
n#01596273	Riparia_riparia avión_zapador golondrina_ribereña
a#02564546	con_peluca
n#10337134	victima_de_robo
a#01088164	vacío
a#00862067	metafísico
n#06627006	tarjeta
r#00119798	por_un_lado
a#02770123	numerología numerológico
v#02653996	acampar vivaquear
a#01993693	digno noble respetable
n#04534651	visor
n#08640300	fondeadero rada
n#10339966	músico
v#02196081	echar_pimienta
n#00880269	observación
v#00382635	transformar
n#10861741	Braxton_Bragg
n#11214320	Laurence_Olivier
v#00693780	juzgar
n#02991555	celda
n#05747815	balance
n#11255460	Presidente_Reagan Reagan Ronald_Reagan Ronald_Wilson_Reagan
n#13394179	certificado_de_plata
n#13397174	deuda
n#13669479	unidad_monetaria_jordana unidad_monetaria_jordania
n#14202673	ránula
n#04663494	cuidado esmero
n#11408148	Stefan_Zweig Zweig
n#01714843	herrerasauridae herrerasaurus
n#02377480	yegua
v#01060746	dar prestar
n#01090225	limosna
v#01229809	empapar ocupar
n#11238303	Pío_XI
n#01378545	mixobacteria
v#01556572	partir
n#12217453	grevillea
n#00920062	ganadería
n#13970460	amistad
n#09598370	Don_Quijote
a#02984491	copulativo
n#10870440	Don_Budge
n#04718563	comodidad ventaja
a#02740223	hemorrágico
a#02625546	armenio
r#00405868	a_cambio recíprocamente
a#00598203	discontínuo
n#05267345	tejido
n#14391876	delirio locura
n#13545184	radiación radioactividad
v#02215266	recortar
n#04372171	vara
n#07188385	apuro impertinencia urgencia
n#07940448	reino
n#09073938	Miami_Beach
n#14958800	naftol
n#15149271	años_1830
n#00331950	movimiento
n#00915574	cría_de_perros
n#08067218	aviación
n#08605863	Parque_Nacional_de_los_Volcanes_de_Hawaii
a#00107250	insignificante marginal
n#10213652	intruso
n#12723330	chicle_de_sonora
a#00388571	calcáreo
v#02169702	oír
v#01062253	dictar emitir pronunciar
n#00922327	excavación minería
v#02523351	pasar salvar
n#12832822	kohleria
v#02314946	desnudar desvestir
v#01419867	charco encharcar enredar puddled_mire
v#01563005	desgajar seccionar segmentar
v#02343816	traspasar
n#14931323	toba_calcárea
n#10466918	preservador
n#15027618	autoanticuerpo
n#10075063	belleza
n#07223094	chismerío
n#05822746	circunstancia condición consideración
v#00792471	requerir
n#04544979	camino pasarela paseo
n#07528470	emoción entusiasmo excitación
n#12055516	cymbidium
n#03061819	gallera
v#02721438	dejar permitir
n#01522305	género_Aepyornis
n#07089622	estilo línea pauta
n#07355887	aminoración baja caída descenso disminución mengua rebaja reducción
a#00842199	firme
v#01756006	desbrozar
n#11152122	Edmond_Malone
a#00800248	sordo
n#01772222	araneae araña
a#02866976	mesoblástico mesodermal
n#15084110	ureasa
n#04858632	frialdad impasibilidad
n#03010057	cartuja
n#10639925	aficionado aficionado_al_deporte fan seguidor
v#02199590	dar donar otorgar regalar
n#05734018	crítica
n#03823216	hierro_nueve niblick
n#13932045	utopía
n#03936568	comprimido
n#03708843	magnetómetro
n#14405225	euforia
a#02711194	de_odontología dental
n#07614730	cucurucho_de_helado
n#09062961	Chula_Vista
n#00250259	desarrollo
n#00906046	venografía
n#01570549	Geothlypis género_Geothlypis
a#02774269	parhélico
n#04060448	rebozo
n#01240210	intervención
n#10059323	otorrinolaringólogo otólogo
n#10185327	saltarín
a#01939984	realista
n#00998604	antropometría
n#03536568	estabilizador
n#05388805	corazón
a#02761251	meningeo
n#00570572	brazada_de_perro
a#00709215	delicado frágil
v#01628449	comenzar iniciar originar
a#02920951	católico
r#00366135	de_forma_impersonal impersonalmente
n#06407372	códice
n#01015477	siega_del_heno
n#06657109	New_Deal New_deal
n#06975132	pasto
n#07908647	anís
v#00681429	evaluar tasar valorar
n#12805899	grosellero_de_invierno ribes_sanguineum
n#13348456	reaseguro
n#14638799	oro
v#01174742	picar
a#01718158	paralelo
v#02712443	anteceder preceder
a#02639430	arquegónico
n#02195693	Bombyliidae familia_Bombyliidae
n#13686877	chelín chelín_británico
n#00069815	incumplimiento_de_compromiso
n#08720280	N'Djamena Ndjamena Yamena
n#14863521	estiércol
v#00121214	alternar
n#09645788	guerrero_indio
n#03062651	bragueta_de_armar
n#13550755	reticulación
n#07377473	cacofonía
n#04979870	oscuridad
n#10720964	miembro_del_sindicato sindicalista
v#01143028	cazar_urogallos
n#06547615	orden_de_arresto orden_de_detención
n#06546408	escritura_fiduciaria
n#10977660	Francisco_Fernando Franz_Ferdinand
v#00040353	acicalarse almohazar arreglarse cuidarse
n#09438212	barrial ciénaga lodazal pantano
n#07522632	incertidumbre
n#10018861	distribuidor
n#10873679	Burns Robert_Burns
a#00486990	frecuente
a#02451634	dócil
n#02722458	antineoplásico
n#04654337	simpatía
n#09629643	titul
n#07737745	arachis_hypogaea cacahuete
n#03961939	entarimado plataforma tarima
n#01690339	Ophisaurus género_Ophisaurus
n#10196404	hielero
n#11317897	Robert_Louis_Balfour_Stevenson Robert_Louis_Stevenson Stevenson
n#06492939	carta menú menú_del_día
a#01212469	bajo
v#00696042	permitir_fluctuar permitir_la_fluctuación
n#07228531	puesta_de_anillos
n#09369169	madriguera nido
a#02093493	inseguro
n#02560546	lates_calcarifer
v#01363648	aplicar
n#00150591	lamer
n#15136147	semana
a#03094740	interrogativo
n#06702888	dentista odontólogo
n#13485270	helada
n#13821570	frecuencia
n#04006584	probenecid
v#00054059	fertilizar polinizar
v#01945277	andar_en_lancha
n#04582771	arco
n#02050004	podicipedidae
v#01813053	apenar entristecer
n#06267145	diario periódico
n#12987056	liquen
n#07329568	arranque lanzamiento partida saque
n#02930766	taxi
n#10363445	observador
n#05034473	valencia
n#08549480	urbanización
n#10663549	camillero
n#01767661	arthropoda artrópodo
n#01019901	reproducción
n#07866723	arrollado_primavera rollo_de_huevo
n#01771246	Pedipalpi Uropygi orden_Pedipalpi orden_Uropygi
n#01991233	Armadillidiidae familia_Armadillidiidae
a#01837182	romántico
n#07153727	epigrama pulla
n#05942579	analogía
n#03186199	dhoti
n#07362386	caída
n#10817102	Hans_Christian_Andersen
n#08187988	coro
n#04079244	residencia
n#01323355	padre semental
v#02530003	caer_de_plano derrumbarse fracasar hundirse irse_a_pique zozobrar
n#04744814	semejanza
n#11236852	Pío_II
n#04326799	mampostería
n#00658082	tratamiento
v#02526934	culminar
v#02405390	reemplazar
a#02601326	acondrítico
n#04442741	rejilla_para_tostadas
n#01831360	todidae
n#04008634	proyectil
n#09323660	kaon
n#11062111	Catherine_Howard
n#11753562	azulejo trifolium_reflexum trifolium_stoloniferum
v#01118449	agreder atacar
a#01261867	humanitario
a#02272485	ingenuo inocente
n#01982650	langosta
n#06676416	currículo programa syllabus
n#00292599	paseo vuelta
n#13369474	fondo_común
n#01892271	Blarina género_Blarina
n#11678123	filamento
v#01194938	cebar
n#13830166	cuarta cuarto
n#06748703	cartel programa
v#01562891	chocar
v#00007012	soplar
n#06077648	microbiología
n#06268096	artículo
a#02847619	floral
n#06577585	programa_de_marcado
n#02621107	Acanthuridae familia_Acanthuridae
v#02218443	recoger
v#01782650	horrorizar
v#01365549	enganchar
a#00969333	extraño
v#00912473	gritar
n#06711030	criticón crítica_constante crítica_maliciosa
n#00530874	cakewalk
n#11359187	Cornelius_Vanderbilt
n#08430568	columna fila
n#14840583	elastómero
n#10015485	directivo director
n#06200344	orientación predilección preferencia
n#00554433	arranque arrebato estallido explosión tumulto
n#03620967	mesa_de_cocina
n#03067810	vivienda_básica
a#02892656	ritual
v#00316390	insonorizar
n#15279104	hercio
n#13882563	octágono
v#00970107	dar_vueltas_a discutir
v#02509705	emparrar
n#07307172	capítulo
n#14458181	gracia
n#14734164	filagrina
v#01275516	aflojar soltar
n#00117578	eructo
n#14550987	pérdida_auditiva sordera
n#10162991	cabeza responsable
n#01098404	mercado_laboral
n#10555311	cabeza_de_turco chivo_expiatorio víctima_propiciatoria
n#03914337	molinillo_de_pimienta triturador_de_pimienta
a#00669853	maldito
n#07802417	cereal
a#01319434	completo entero
n#10495421	el_que_empuja empujador
a#00098147	muerto
v#01864865	agitar sacudir
a#02717538	electoral
n#01724947	género_Stenopterygius
v#01721754	adoptar fingir hacerse simular
n#03323703	cierre ligadura
v#01673891	hilar tejer
n#03610098	mazmorra torre_del_homenaje
a#02050841	agrario agrícola
n#12190869	durio
n#03639230	patín_de_aterrizaje
v#00213353	salar
n#11110791	Fritz_Kreisler
a#00438707	listo
n#13179056	mirmecófita
v#01036804	charlar disparatar
n#04248607	instantánea
v#00704388	contemplar meditar
a#03138752	abolicionista
n#10981961	Augustin_Jean_Fresnel
n#14713120	alqueno olefina
v#01145944	cazar_aves
n#02933750	transatlántico_con_cabinas
n#05798043	ensayo experimentación experimento prueba test
a#00713205	autoritario
n#08678151	virreinato
n#10875468	George_Bush George_H.W._Bush
n#06362059	Lineal_B
n#07785887	emperador
n#10905159	Wilkie_Collins William_Wilkie_Collins
v#01534609	salpicar
n#14997699	producto
n#00373544	ascenso
v#00420132	ajustar apretar atar estirar tensar
a#00117106	conforme
n#00154433	documentación fundamento
v#01085874	dificultar estorbar perjudicar
v#00125841	tornar
n#03612814	caldera
r#00134294	en_términos_metereológicos metereológicamente
a#01613463	desobediente
n#05681334	trance
n#09170633	Kizil_Kum Kyzyl_Kum
n#11273479	Arthur_Rubinstein
n#12216028	conospermum género_conospermum
n#14599806	acetato etanoato
n#14669677	carnotita
v#00032539	mofarse sonreír_burlonamente
n#15205532	siglo
n#07173766	lectura
n#06622449	simulcast
a#00720296	expresivo
n#03559999	polea_de_guía polea_de_tensión polea_intermedia polea_muerta rueda_loca
n#06865345	nota tono
n#09199728	antineutrino
n#10141364	gramático
n#08230679	club_de_atletismo
n#15212358	mediados_de_julio
a#00120132	gris inanimado sombrío
n#05005447	vitalidad
n#10459882	postulante
n#09522978	deidad_hindú
n#15213774	diciembre
v#01587705	embancar
n#03425413	bomba_de_combustible surtidor_de_combustible
r#00123365	económicamente
a#01233020	llano
n#07464725	torneo
v#02331786	uniformar
a#01533806	exagerado
n#05098620	nivel_de_ruido
n#08709593	George_Town
n#14455966	plaza vacación vacancia vacante
n#03624767	caballo
v#01816983	descontentar
a#02264807	tubular
n#10115748	titular
n#01073824	orgía
v#02052090	bordear rodear
n#04865016	constancia firmeza
n#08293490	flota
n#01817772	Psittacus género_Psittacus
v#01075498	volear
a#01725273	impasable infranqueable
n#02122810	gato_castrado
n#04473432	transporte
a#00362892	contento feliz sonriente
n#08459252	secuencia sucesión
n#13617468	acre-pie
a#02887578	sexual
v#02505358	impulsar
n#06721342	grocería vituperio
n#11999278	othonna
a#00888765	celoso
n#09210604	atmósfera
n#10308653	mendeliano
a#02448437	duro severo
n#13522485	nicturia
n#01596761	Artamidae familia_Artamidae
n#10624915	yerno
n#14694910	rejalgar
n#02914991	complejo
n#09439433	sistema_solar
n#03978966	polo
n#02271897	thysanoptera
n#11429356	bise
n#05846355	limitación restricción
n#09139698	Rapid_City
a#00172452	no_atribuíble
v#00765213	calmar propiciar
n#06183518	homilética
n#80000882	códec
n#10567979	secesionismo
n#06277135	radio radiocomunicaciones telégrafo_sin_cables
n#01975880	Decapoda orden_Decapoda
n#05622076	sabiduría_callejera
v#00891038	dar_el_éxito
n#05424351	venas_labiales_anteriores
v#00192659	animar estimular
a#02035765	censurable condenable reprensible vergonzoso
a#00904548	despreciable
a#01336837	corto estúpido tonto
n#04632063	alegría
n#07395777	chirrido
n#10853767	Leonard_Bloomfield
n#01551711	pipridae
n#15134490	período
n#01792640	gallina pollo
a#00724397	seguro
n#01891274	Neurotrichus_Gibbsii topo_musaraña_americano
n#14110146	azimia
n#13971065	acuerdo armonía
v#01289492	asegurar
v#00454018	cebar
n#10814953	Allen Allen_Stewart_Konigsberg Woody_Allen allen
n#03851219	banco_de_óptica
n#05095561	ciencia_fingida
n#09400584	sialolitiasis
n#11098380	Buster_Keaton
v#00725748	coger pescar pillar
v#00525164	acicalarse
n#10336730	muecín
n#11034485	Anne_Hathaway Hathaway
a#00838533	fácil
n#11066621	Engelbert_Humperdinck
a#01359771	llano
n#02219234	Formicidae familia_Formicidae
n#02180742	Staphylinidae familia_Staphylinidae
n#01596887	Artamus género_Artamus
n#02052639	Fregata género_Fregata
n#08374653	acuerdo_fronterizo avanzada
n#07190941	cargo facturación
n#01703341	Ceratopsia suborden_Ceratopsia
n#03254374	piragua
n#10559840	maestra
n#11212426	Hans_Christian_Oersted Oersted
n#11298519	Shevchenko Taras_Grigoryevich_Shevchenko
n#13682971	corona_noruega
n#02362025	Petauristidae subfamilia_Petauristidae
a#03085715	mendeliano
a#01219502	montañoso
v#01973125	bajar
n#04105068	cubierta techo
n#06691083	pasaporte
n#01984958	Astacidae astacura familia_Astacidae
n#09790278	analista psicoanalista
n#11685621	silicua
n#12656528	frambuesa_americana rubus_idaeus_strigosus rubus_strigosus
n#13691154	unidad_monetaria_nicaragüense
n#13949576	antigüedad estatus_de_antigüedad estatus_superior rango_superior superioridad
n#02078436	Zalophus género_Zalophus
n#80000880	arquitectura_cliente-servidor
n#02432139	Odocoileus género_Odocoileus
a#02319346	turbio
n#01194021	condena_por_asesinato
n#11668117	liliopsida
n#13696155	unidad_monetaria_guatemalteca
n#10910948	Arcangelo_Corelli
n#10971852	Hans_Fischer
n#04275548	tela_de_araña
n#10098092	pelota
n#03262932	poltrona
n#09483129	Zambezi río_Zambezi
n#80000835	programación_visual
v#01339294	sumergir
v#02483000	asesinar
v#01063188	disponer
n#14238211	fibroadenoma
n#00698474	valvotomía valvulotomía
n#07594406	delicatessen
a#00184229	disponible
n#03383562	gavia_del_trinquete velacho velacho_alto
a#02940115	epicicloidal
n#01049685	cobertura
n#00315390	paseo_en_barco paseo_en_yate
n#02880308	lazo
v#02329999	ribetear
n#06100236	mecánica
n#13776971	mar océano
n#04745370	uniformidad
v#00997432	contrafirmar
n#10732644	pregonero voceador
a#00553899	discordante
n#07901264	Amontillado
n#00812977	llave
n#13339325	obligación_nominativa
v#02288155	perder
n#04346428	cochinera pocilga zahurda
n#06259898	canal
n#06503724	entrada
v#00897241	saludar
a#01343918	interesante
n#13969243	armonía paz
n#03009920	carta
n#15042052	sedimento
v#02593354	vigilar
v#02158587	disfrazar disimular enmascarar
n#07093158	poesía_heróica poesía_épica
n#15236015	nanosegundo
n#12645174	prunus_dulcis
n#13501941	invaginación
n#06280244	evidencia in_flagrante
n#06254371	heliograma
n#06229853	calvinismo
n#14040846	deshidratación
n#09140882	Johnson_City
n#05183932	libertad_de_prensa
n#14006945	acción actividad
n#05512337	vejiga_urinaria
v#01427907	copular
v#01398919	batir_a_golpes golpear_repetidamente
n#01323493	madre progenitora
r#00505450	adecuadamente por_derecho
n#12865708	salvia_lyrata
n#03181293	detector
a#00345494	inestable
n#15153787	edad vejez
n#05259726	moño
n#01450281	Holocentridae familia_Holocentridae
n#01523493	anomalopteryx
n#00850425	cruce
n#05819453	verdad
n#01727646	colubridae
n#15044648	sodalita
v#01724083	parodiar
n#00147314	articulación
a#03051194	bubónico
a#01726859	fanático
n#13869243	intradós
n#07087641	modulación transición
v#00269682	desbloquear descongelar liberar soltar
n#09184136	conciencia consciencia
n#07258664	fuente referencia
v#01454636	arrastrar
n#02089867	perro_raposero perro_zorrero
a#01716971	desagradable
n#09550585	nereida
n#01428580	malacopterigio
n#01934207	Annelida filo_Annelida
n#02778669	balón pelota
v#02717102	cargar llevar
v#00858568	animar
n#02637046	Gerres género_Gerres
n#06583518	rutina_de_vaciado
n#05650579	atención concentración
n#02797692	base fundamento pie soporte
v#01134375	disparar
n#01150938	política_de_apaciguamiento
n#13633596	unidad_de_elastancia
n#01479329	Myxinikela género_Myxinikela
n#01988701	euphausiacea
n#01557697	Turdus género_Turdus
v#00997020	firmar
a#00485252	no_residencial no_residenciales
v#00571596	quitar
a#00707206	tierno
v#01857717	arrancar encender poner_en_marcha
v#00824292	castigar corregir criticar rectificar reprender reñir
n#06608617	tralará
v#01767163	preocupar
n#02407071	shorthorn
n#01261293	emoción
r#00356320	a_éste a_ésto
n#12318378	juglans
n#07605380	fondant
n#13581218	pluralidad
v#00598954	descubrir enterar enterarse ver
v#00605086	indoctrinar
a#00635456	incorregible
a#00983052	lento
v#02580678	enrarecer envenenar
n#10752093	víctima
n#10968058	Gustav_Theodor_Fechner
n#13484644	solidificación
v#02013840	excluir
n#07288485	aparición visión
n#01566509	Timalia género_Timalia
n#03742115	botiquín
n#08240633	pandilla peña
n#01689226	Anguidae familia_Anguidae
n#08408557	feria
n#04401949	clavija_telefónica entrada_de_teléfonos
n#00798108	espeleología
n#05689645	escollo rémora
v#00091851	desjarretar
a#00509576	compatible
v#02244956	comercializar transar vender
n#07825717	pickles_dulces
v#01326528	destruir matar
r#00509846	lo_mejor mejor
v#01172701	consumir tocar tomar
n#09582726	Verdandi
n#00509846	festejo festividad regocijo
n#10762693	fabricante_de_carros
n#10570019	secretario
n#14874196	radical
n#00508091	lotería
n#10203298	jefe_indio
n#06648207	testimonio
n#10099093	cantante_folclórico cantante_poeta juglar trovador
n#02655694	Diodon género_Diodon
n#10801802	yakuza
a#00758459	diplomático
n#10933266	Dewey Melvil_Dewey Melville_Louis_Kossuth_Dewey
n#11380768	George_Orson_Welles Orson_Welles Welles
n#12586867	caryota género_caryota
n#14065156	cafeinomanía
n#10970864	Millard_Fillmore
a#00043765	real verdadero
r#00196999	descansadamente desenvueltamente
n#09795556	jubilado pensionista rentista
n#13982839	sospecha
a#02904518	nervioso neural
n#14166118	isquemia
v#01252425	manchar
v#02362700	poner_vergas
n#13268146	premio
n#04722231	habitabilidad
n#01237167	agresión
n#02619738	Eleotridae familia_Eleotridae
v#01397210	golpear pegar
n#00269258	reconstrucción
n#07837630	salsa_Mornay
n#09711320	corintio
n#14853530	efluvio hediondez mal_olor
n#14876771	galactosa
n#07679140	farsa
v#00619183	datar
n#10111903	fraile
n#04511971	Universidad_de_Chicago universidad_de_Chicago
n#01478511	myxini
n#11234951	Pablo_Picasso
n#14884820	gliceraldehído
n#03920737	combinación guardainfante viso
n#07861983	chapsui_de_pollo
v#01569181	asfixiar sofocar
n#04231575	pista_de_esquí
n#09890749	candidato
n#11066425	David_Hume
n#08069768	industria_del_plástico
n#10335246	plañidera
n#02069271	Delphinus género_Delphinus
n#08249038	banda
n#10300303	pareja
a#02085898	inescrupuloso
v#00706804	componer
a#00631391	acertado correcto
n#12636107	género_mespilus mespilus
v#00354195	levantar
v#02418686	jugar
n#03209666	disquetera unidad_de_disco
n#10833304	Bankhead Tallulah_Bankhead
v#00843468	acusar culpar incriminar
v#01286436	encadenar
n#06836165	ípsilon
n#03392908	cubierta_superior
v#00254672	envejecer sazonar suavizar
v#02602685	barrer
n#03330274	festón
n#05570129	glúteo
n#11047701	Rudolf_Hess
n#11199234	James_Naismith
a#01852666	directo
n#01125693	legislación
n#00918383	horticultura jardinería
n#05905348	estrategia plan táctica
a#01350225	externo
n#07898745	vino_de_mesa
n#11310081	John_Hanning_Speke
n#13477462	ejecución
a#01871565	económico
n#06886488	huella_digital
n#15261471	New_Deal
v#01446420	dentellear mordiscar
n#11191251	E._W._Morley Edward_Morley Edward_Williams_Morley Morley
v#01170824	tragar
n#00765343	belicismo
n#10090020	financiero
v#02488304	ver
n#03495671	arpón
r#00324976	ecológicamente
n#15151084	años_1880
n#03477410	alabarda bisarma
n#11323316	William_Styron
a#03069643	gótico
n#01742172	boa_constrictor
n#00866079	midriasis
v#02539788	alimentar criar educar formar ser_padre
a#01990373	decidido
n#04909270	canallada terquedad
v#02214190	negar rechazar
v#02528380	fracasar
n#04590553	parabrisas
n#08612049	órbita
n#14091018	ninfolepsia
n#14766189	piel_de_ardilla
n#06221119	socialismo_utópico
n#01156070	antifeminismo
n#13472125	electrólisis
v#02087745	balancear mecer
n#06344846	cabecera
n#09969218	conde
v#00649362	buscar conseguir investigar rebuscar
n#03308297	ojo
n#09798811	apóstol discípulo
n#09972587	vaca
n#01393364	género_Globigerina
v#00791764	volver_a_llamar
n#07206887	contradicción
n#10325243	dechado modelo
a#02704611	corimbiflero corimbiforme
n#01332795	flavivirus
n#04380533	lámpara_de_mesa
v#01507006	invaginarse
a#03109963	restante
n#11334003	Edward_Teach
n#09550758	Tetis
n#02981911	arbalesta balista fundíbulo mangonel
n#07850329	queso
r#00509432	derecho recto
n#09610093	Obispo_Coadjuctor
n#06942252	albano
n#00389610	emparejamiento
a#01131043	malo malvado
a#00764484	directo firme franco sincero
v#02482425	asesinar borrar cargarse despachar echarse eliminar matar_violentamente quitar_de_enmedio
n#05576573	arco
