n#01460813	oviscapte ovopositor
v#00243900	abreujar contraure contreure encongir escurçar
n#15058310	esterol
n#01606522	astor falcó_perdiguer
n#04865016	constància
n#06622709	telegrama
n#04910973	amabilitat gentilesa mansuetud suavitat
v#01252425	empastifar tacar-se untar
n#00317594	menar
n#07718747	carxofa
n#02523338	genus_lota lota
n#00168911	escapada
n#02830852	benzodiazepina
n#07273136	etiqueta
n#08459648	sèrie
n#07452841	commemoració recordança
n#07675535	oli_de_nou
n#13953467	ciutadania
n#07245885	sol·licitació
n#09434345	serralada
n#00505238	monopoly
n#03842986	ohmímetre
n#08557976	vescomtat
n#08161591	senat_dels_Estats_Units senat
a#01646941	jove
a#01255296	tardorenc
a#02904223	administratiu
a#02186665	4 IV quatre
n#04375775	sincrotró
n#08457976	sèrie
v#00703310	predestinar
n#13458571	disminució reducció
n#10435367	bucaner filibuster pirata
n#00027167	lloc
n#11905236	eschscholtzia genus_eschscholtzia
n#09443453	brollador deu emanació font font_natural sortidor
n#05385161	bufeta_del_fel vesícula_biliar
n#07191696	ultimàtum
n#05777830	quiromància
n#14213328	curvatura
n#01260008	mormoleig murmuri
n#03724538	ferro_número_cinc
n#11417672	fenomen_geològic
n#02650282	genus_triga
v#00138508	capgirar invertir
n#10786270	testimoni
n#12678059	genus_sambucus sambucus
a#01856419	fundamental
n#11825988	genus_gomphrena gomphrena
n#06066414	biogeografia
n#03997027	xarxa_elèctrica
n#00190431	cistella
n#08364044	monarquia_parlamentària
n#11424704	amperatge
n#12830974	alsobia genus_alsobia
n#02693070	pista_d'aterratge pista
n#11382795	Edith_Wharton
n#04820258	claredat lucidesa nitidesa transparència
v#00544011	transformar
a#02459465	alegre despreocupat feliç tranquil
v#00149118	desintoxicar-se desintoxicar
n#01694558	genus_varanus varanus
n#10997742	Edward_Gibbon
n#10935128	Rudolf_Diesel
v#02168965	fixar_la_vista mirar_amb_ulls_de_miop
v#01738597	desenvolupar
a#02565425	disposat preparat
n#01771624	genus_mastigoproctus mastigoproctus
v#01328340	desenganxar
a#03080492	llatí
n#02369555	rata_del_desert
n#13547677	reducció
n#10818088	Sant_Andreu
n#01504437	aus família_d'aus
n#07579076	bocí engruna mos tros
n#03698604	transatlàntic_de_luxe
n#05265038	nòdul
n#09729062	moscovita
v#01523270	cabdellar
n#06971741	singalès
n#02834642	bicorn
n#14950694	clorur_de_mercuri sulimat_corrosiu
n#00265992	realçament
n#14334306	gra
v#02327200	facilitar proporcionar subministrar abastir proveir
n#05718254	sensació_auditiva so
n#07410021	cop
n#02362862	castor genus_castor
n#80000908	reglament
n#10476671	agent detectiu detectiu_privat investigador_privat
n#02031934	becadell cegard
n#14763879	cuir_de_sabates
n#04719661	navegabilitat
n#05810561	existència
v#01488956	carregar
n#10100761	babau bajà beneit curt talòs tonto
n#12544646	genus_lonchocarpus lonchocarpus
n#08278169	escola_universitària
n#14732472	ceratina
n#15203120	exercici_anual exercici_econòmic exercici
n#04345288	andròmines coses trastos
n#14271920	hematúria
n#08453464	dret_nacional dret_intern dret_civil
a#00258090	encaixat
n#80000624	document_HTML
n#10747815	ventríloc
n#11275035	George_William_Russell
a#02692966	químic
a#00053248	enllaçable
v#00921072	afigurar-se sospitar
n#09837360	director_de_banda
n#01114055	narcotràfic
n#06655388	precepte principi
a#00470930	publicat
n#07752664	pansa
n#00088481	comís confiscació decomís
v#00907930	gemegar
n#11495708	pressió_baromètrica
n#08761868	capital_de_Dinamarca Copenhagen
n#00861894	ergotropisme
n#14087513	epilèpsia_generalitzada
n#03962685	plataforma
n#08076946	empresa_de_subhastes
v#00849080	fer_befa fer_escarni mofar-se
n#03340009	filtre
n#01871699	monotremes
n#14684690	àcid_perclòric
n#00839163	coprofàgia
n#00297062	vagareig
v#00697062	auditar
n#08982037	Cebú
n#14937225	clorur_càlcic
n#02534734	salmó
n#06169806	crítica_literària
n#09758173	asceta
n#07936263	aigua_potable
n#13771290	parell
n#03284308	envàs
n#06657202	control_econòmic control
n#13675093	unitat_monetària_grega
n#06398401	cloenda conclusió tancament
n#01390899	radiolaris
n#15128549	cambrià
n#13775093	batalló exèrcit massa multitud
n#03738066	piano_de_manubri pianola
v#00274283	corroir desgastar rovellar
a#01880531	inapropiat
a#00753504	presidencial
n#10215623	investigador
a#02586446	exemplar modèlic
n#09945905	acompanyant companya company
n#07120176	consonant_velar velar
n#07053732	serenata
n#06320153	nom_comú
n#05394707	vàlvula_pulmonar
n#05652593	volició voluntat
n#07627564	vol-au-vent
n#03238131	camerino
v#00964694	conversar departir
n#09791151	analista_de_la_indústria_del_petroli
n#15105955	xenotima
a#01362598	afligit apesarat capmoix malenconiós melancòlic moix trist
n#05646218	endarreriment retard_mental
n#04351936	sulfadiazina
v#02161530	brillar relluir resplendir
n#01545425	genus_menura menura
n#04236702	funda
n#06625601	carta_oberta
v#00507331	gelificar-se gelificar
n#00516086	celebració commemoració solemnització
a#00451872	aproximat
a#02959007	lusità portugués
n#11502102	bàtec ruixat xàfec
n#11323094	Peter_Stuyvesant
n#01827403	alció arner blauet botiguer
n#10519291	cenobita
n#02135981	arctictis genus_arctictis
n#13095685	teixit_vegetal
n#00238022	debut introducció llançament presentació primícia
n#03987079	retrat
n#03626272	empunyadura
n#05032565	aguant resistència
a#00135342	convenient idoni oportú
n#07611267	pastís
a#01813400	prudent sensat
n#80000807	perifèric_de_comunicació
n#04886881	amor_propi dignitat
n#05253561	si_paranasal
n#01379954	genus_lactobacillus
n#05301908	boca
a#00082241	agressiu
v#02639475	rondar voltar
a#00126497	precedent
v#02652494	albergar residir
n#04713853	bellesa gràcia
n#04076433	repertori
a#01802165	abrasador àcid acre amarg aspre càustic corrossiu virulent
n#11363412	Jules_Verne
n#11256494	John_Reed
n#12628986	codony
n#06810407	notació_decimal
n#06856568	escala_musical escala
n#05995576	liberalisme
a#00964470	fal·lible humà
n#04998530	complexió constitució físic
n#03887185	grapa
a#01123879	bestial brutal fenomenal genial guai súper
n#10484858	fiscal
n#11224654	Boris_Pasternak
n#03964495	parc_infantil parc
v#02543181	desobeir
n#03254862	dulcimer
n#02226598	acrídids
n#11492833	polimorfisme
n#14262336	corea
n#01245318	holocaust
n#04063373	equip_de_gravació equip_d'enregistrament
n#14199934	kwashiorkor
n#01371342	genus_rickettsia
v#02730471	notar parèixer semblar
n#02839910	cubell galleda
n#08625462	esquerra
n#04612722	fruit producció
n#04044498	radiotelèfon
n#03896233	tren_de_passatgers
n#01989701	estomatòpodes
n#14917635	tinta
a#02111684	conjunt
v#02096312	acuitar apressar
v#01110247	engalipar enganyar enredar
v#02422409	afranquir enfranquir
n#12186116	genus_sida
n#14766040	pell_de_foca
n#02963503	cardiògraf electrocardiògraf
a#02186470	2 dos II
n#14274217	ronya sarna
n#13672462	dòlar_de_Brunei
v#00600903	consumir esgotar
n#00312932	creuer
n#05166805	positivisme
n#07878283	col_farcida
n#12493090	ceratonia genus_ceratonia
n#08284054	escola_parroquial escola_religiosa
n#09847010	captaire demanaire mendicant pidolaire
n#02753881	cap_nuclear
n#14315897	anasarca
n#02962200	carburador
n#11805837	arenaria genus_arenaria
n#03675235	linotip
a#01009343	inaugural iniciador primer
n#12175949	cotoner
n#05513807	sistema_reproductor_masculí
n#01806984	genus_tragopan
v#00823436	contradir
n#06007859	geometria_esfèrica
n#13184873	blechnum genus_blechnum
n#13969243	concòrdia harmonia pau
n#10331258	enemic_mortal
n#11027631	George_Frederick_Handel Handel George_Frideric_Händel
v#00190586	copejar
n#11344092	Mark_Tobey
n#06945095	serbocroat
n#10880841	Italo_Calvino
n#11030679	Frank_Harris
n#11034485	Anne_Hathaway
n#06338908	apel·latiu denominació
n#07331600	difusió transmissió
n#06639563	principis
n#01077738	evitació
n#09388530	Pegasus
n#14660443	número_atòmic_92 U urani
n#04362972	radar_de_recerca_terrestre
n#05895138	sofística
n#02734835	arquitrau
v#02667698	topar xocar
n#07464969	torneig_eliminatori
n#08706058	Alger capital_d'Argèlia
n#02043659	genus_rynchops rynchops
n#08687345	escorpí
n#10132988	escuracassoles glot golafre golut
n#05531814	tràquea
n#06196584	inclinació tendència
n#05491993	cervell
n#00508952	daus
n#04454240	baldufa
n#09699642	danès
n#15189347	dia_de_les_forces_armades Dia_de_les_Forces_Armades
n#13338234	valor_de_l'estat
n#14447525	benestar comoditat folgança
n#07210553	protesta
v#00822367	declarar estimar judicar
a#01130932	blanc
n#02390454	ase_salvatge
n#08227214	associació club fraternitat societat
n#03162818	dard
n#07802963	mill
n#08844279	Nova_Guinea Papua
n#02030442	genus_heteroscelus heteroscelus
a#01052428	aromàtic
n#05336246	aorta_ascendent
v#01045318	deixar-la_anar
n#09638454	mulato mulat
n#07457722	pentatló
n#03218545	andròmina endergues trasto
n#05820620	exemple
n#03196324	ordinador_digital
n#02630926	genus_makaira makaira
v#01870867	patinar
n#09541809	Puck
a#00341405	incert
n#10762607	carreter tartaner
n#14977188	quitrà
n#01324019	animàlcul
n#13977366	aldarull desgavell desori disturbi enrenou sarau
n#05511286	sistema_vascular
n#80000922	incidència
n#11067047	William_Holman_Hunt
v#01441993	picar punxar punyir
v#00099374	granular
n#09326662	pujol
n#00248368	amaniment
v#01172275	beure
n#02902250	canto costat vora
n#03931044	fotografia foto imatge
n#10756148	vescomte
n#12960211	genus_ophioglossum ophioglossum
n#01672275	genus_trionyx trionyx
n#10287213	baró home_adult home
v#00899956	saludar
a#00035465	actiu
n#02376303	genus_protohippus
n#11590783	fongs
n#04905546	manejabilitat
n#06790235	ecumenisme
n#00506207	tres_en_ratlla
n#06340707	frau
a#00085139	tolerant
n#08708742	Anguila
n#15088869	rodopsina
n#12590842	euterpe genus_euterpe
n#80000795	array_rectangular
n#11402463	William_Butler_Yeats
n#13373214	patró_monetari patró
a#02886869	lèxic
n#07520411	horror
n#00729108	deures
n#10791820	company_de_feina
n#05537060	còlon_ascendent
n#02214203	eumenes genus_eumenes
n#14731716	lactalbúmina
n#07518468	irritació ressentiment
n#07803895	emplastre pasterada
n#01722998	pterosaure
v#00490586	mesurar_amb_comptador
n#07907161	whisky_irlandès
n#15126361	cretaci
a#00954233	borni guerxo
n#00466880	croquet
v#01046059	bramar bramular
n#03538542	gualdrapa
n#12022054	peritre
n#01742680	genus_lichanura lichanura
a#00669942	maleït
n#03023175	clorpromacina
n#80000788	arbre-B B-arbre
n#05397178	estructura_vascular
n#14654954	Ag argent nombre_atòmic_47
n#13176523	genus_microsorium microsorium
n#04296949	portaobjectes
n#05326060	lamel·la
n#10017190	fregaplats
a#03044462	àrab aràbic
n#06789411	credo doctrina_religiosa evangeli
n#04324515	cep_(tortura)
v#02343595	donar sacrificar-se
n#01535005	genus_pooecetes pooecetes
v#00949841	puntuar
a#00074216	pastosa
n#10020533	exdona ex
n#00154233	autenticitat certificació
n#10242791	aristòcrata noble
n#09193772	Alfa_del_Centaure
n#08049125	National_Trust
v#02479323	abastar aprovisionar fornir subministrar
n#05240522	endoteli
n#11788223	dracunculus genus_dracunculus
n#11120368	Ernest_Orlando_Lawrence
n#10120533	jardiner
n#09811112	director_d'escena
v#02477135	afranquir enfranquir
n#13915305	hexaedre hexàedre
n#00312784	creuer travessia
n#11193058	Jelly_Roll_Morton
n#11331063	Yves_Tanguy
n#04856621	precarietat
n#04532670	viaducte
n#02320465	lliri_de_mar
v#00605086	adoctrinar
n#02274259	papallona
n#11012474	Asa_Gray
n#11692108	calicle epicalze
n#00914509	producció_insuficient
n#05998356	al·lometria
v#02218173	acumular juntar reunir
n#10898133	Cimabue Giovanni_Cimabue
v#00874175	familiaritzar
v#02314275	desmuntar desposseir despullar-se despullar desvestir-se desvestir privar
a#00445548	distant
n#03779000	mòdul
n#14615264	àcid_polifosfòric
n#07036203	doxologia
n#13204102	genus_oleandra oleandra
n#02343633	genus_gerbillus gerbillus
a#01115349	genuí autèntic
n#03873699	paleta
n#11103397	John_Maynard_Keynes Keynes
n#06524767	sots-contracte
n#15149763	els_cinquanta
n#02480673	genus_gorilla
n#14719725	terreny_al·luvial
n#00783527	filibusterisme pirateria
n#13084834	cultivar
n#01946487	genus_nerita
a#02283188	induït
n#05153795	preparació_física
v#00184117	barrejar mesclar mestallar mixturar
v#01868370	cargolar-se retorçar retòrcer serpejar serpentejar torçar tòrcer trenar
a#02602261	adolescent
n#07224151	advertència advertiment avís
n#04592465	vinateria
n#12178129	kenaf
a#02112455	conjunt
n#05410646	insulina
a#00065184	discriminatori preferencial preferent
a#02563310	insignificant marginal
n#08149781	secta
n#02662688	genus_scophthalmus scophthalmus
n#14814616	carbó
v#02406585	succeir
n#00114871	arrossegar
n#10434424	pioner
n#11752404	genus_trifolium trifolium
n#07878926	tomàquet_farcit
n#03865949	xancle
v#00197744	espellofar
n#01833805	colibrí
n#07646821	oca
n#80000933	contracte_de_fabricació
n#02048832	gàvids
n#02042046	gavià_argentat
n#03511175	bardissa
n#03978575	pilota_de_polo
v#02742482	representar significar
a#00082034	impertorbable
n#15266911	acabament conclusió fi finalització termini
v#02651424	albergar allotjar donar_hostalatge
n#01967963	fòlade
n#11425580	fenomen_atmosfèric
n#06317464	categoria_morfosintàctica
n#04350905	conjunt vestit
a#00009978	golafre voraç
n#07137733	col·loqui
v#00514871	entendrir
n#07361128	col·lapse
n#13747865	18 divuit
n#07251984	foment promoció
n#06536853	projecte_de_llei
n#04840537	beneficència
n#03419014	peça_de_vestir peça
n#09448690	tàlveg torrental torrentera
n#03459591	graella graelles
n#14955391	tàrtar_emètic
n#13999206	captivitat empresonament
n#05948857	misticisme
n#11811473	lychnis
a#00211221	depilatori
n#11333601	Deems_Taylor
a#00454849	abillat vestit
n#01967308	broma corc_marí teredo
n#04077734	equipament_de_salvament
n#04501713	plataforma_giratòria
n#09536363	Déu_Totpoderós el_Creador
a#00334852	unificador
v#02550516	acaronar amanyagar amoixar
n#12737383	lorantàcies
n#10382302	ordenand
n#00659048	massatge
n#11125840	Jack_Lemmon
n#13253751	ganga
a#02075737	descabdellat desgavellat estúpid
v#02035919	doblegar enguerxir flexionar torçar tòrcer
n#13480848	flama foc
v#00172381	completar
n#09210604	atmosfera
v#01173656	pessigar picar
n#03718458	casal casa_pairal casa_senyorial
n#01933834	dracunculus genus_dracunculus
n#05678148	sensibilitat
n#03585438	ferros
v#01773535	amargar
n#00772381	perjuri
n#03834604	arma_nuclear
n#10114476	colló torracollons
n#04538249	viscosímetre
n#05197797	domini
n#14000302	internació internament
n#02399648	bonet reticle segon_estómac
a#01104026	especial particular peculiar propi
n#10277815	luterà
v#02175384	carrisquejar crepitar cruixir esclafir espetegar
n#09562166	Vulcà
n#00980904	cascos_blaus_de_les_nacions_unides
n#12868248	genus_sideritis sideritis
v#00282076	descolorar descolorir
n#07035598	cançó_espiritual_negra cant_espiritual cant_espiritual_negre
n#10812225	Louisa_May_Alcott
n#00231567	anul·lació invalidació
n#10048001	exclamador
n#11484741	monsó
n#04469514	trampolí_elàstic
n#15286249	ritme velocitat índex
n#00411235	biologisme
n#03618546	pern_central pern_gros
n#08624891	punt_destacat punt_prominent
n#00733483	intromissió intrusió violació
n#02168542	cerambícids
n#12476902	genus_agave
n#01330497	arenavírid
v#01143713	dragar rastrejar
n#10869683	Martin_Buber
n#09644152	mongol
n#13298011	ajut extra plus
n#07657903	bistec filet
n#06448594	vulgata
n#08507558	arrel germen naixement origen procedència
n#03967788	rella
n#03023878	falca tascó
n#11639609	taxodiàcies
a#00361509	impúdic
n#03022406	cloroform
n#01619310	aura
a#01758339	durador persistent
v#00026941	aclofar-se arrepapar-se
n#02785648	embenatge embenat
n#06868986	la
n#04248607	fotografia_instantània instantània
n#01949817	ancil ancylus genus_ancylus
n#06127057	bioremediació
n#11876803	bròquil
n#08119821	departament_governamental
a#01090820	útil
a#00107250	insignificant marginal
n#05058140	rapidesa velocitat
n#08411483	escola_de_dansa
n#14038185	erecció
n#13668161	dalasi
n#08602650	Big_Bend
n#05900430	programa_d'educació
n#07715221	col_de_brot col_de_Brussel·les cols_de_Brussel·les
n#08674739	bancal era erol
n#05962785	mimesi
n#14212759	càncer
n#09297729	Badia_de_Campeche Campeche
n#11827348	batis genus_batis
n#00212065	graduació
n#08282257	escola_de_vol
v#02129289	veure
n#04316275	fotografia_en_relleu fotografia_tridimensional
n#14757382	dentina
n#09044862	Amèrica Estats_Units EUA
n#09797742	antisemita
n#09639919	semita
n#05698982	incredulitat
n#05338166	artèria_axil·lar
v#02568884	practicar_el_xamanisme
n#11962853	elephantopus genus_elephantopus
n#02279257	paó
a#00956131	honrat just recte
n#06187154	antinomianisme
n#06425960	número_de_la_Seguretat_Social
n#02678528	aciclovir
n#02760855	fusell_automàtic
n#03270165	sistema_elèctric
n#03412674	galera galiota
n#14633856	carboni_14
n#06098876	cristal·lografia
n#05204637	impotència
n#08168531	tribu
v#01284461	afluixar amollar deixar_anar deslligar desnuar
n#07700638	fettuccini
n#11903525	chelidonium genus_chelidonium
n#12031739	genus_vernonia
n#03224603	lluerna
n#14329262	neuràlgia
n#07137807	detall
a#00459881	semidespullat
n#09991530	calavera disbauxat esbojarrat temerari tronera
n#05790572	deixalla desferra rebuig
n#10143530	matriarca
n#01321230	mascle
n#03144873	colzera
n#12052630	genus_coelogyne
n#11900058	papaveràcies
n#08917503	Babilònia
n#07621618	guarnició
n#09198106	Antàrtida
n#04693717	monstruositat
n#01445305	genus_ictiobus ictiobus
n#07086972	temps_accentuat
v#00695226	avaluar taxar
n#02071506	genus_globicephala globicephala
n#10344922	homònim
a#02810882	temporal
n#09397391	estany
a#00621207	corruptible subornable venal
n#05012272	entalpia
n#08744236	capital_de_Mèxic Ciutat_de_Mèxic
n#06236802	hinduisme
a#02472693	submergible
n#15157225	dia
a#00025470	àcid
n#13450206	combustió
a#01221290	anàleg
n#11960540	delairea genus_delairea
n#13897657	altitud altura
n#03211117	pantalla visualitzador
n#02396014	verro
n#08462320	dada
n#08672397	circumscripció_electoral
n#04704346	indistinció vaguetat
n#01071411	clemència misericòrdia
n#14254102	actinomicosi
v#02205012	predisposar
a#00874226	enèrgic vigorós vivaç
a#01030022	arrissat
v#01089614	tripular
n#00621198	esquirolatge
n#00417643	abraçada
v#00345508	desencadenar-se esclatar
n#02383231	pura_sang
n#07508705	autoestima
n#07236077	demanda querella
n#00939091	gravat_a_l'aiguatinta
n#01728445	carphophis genus_carphophis
n#07420671	expenses
a#02426042	desordenat
n#12826395	genus_ipomoea ipomoea
n#08416652	dreta
v#00909896	fer_l'aleta
n#00068755	decepció desengany desil·lusió
n#11155943	Rocky_Marciano
n#09217230	platja
n#14449126	necessitat
n#10051215	embalsamador
n#02207942	àpids
n#12442865	asphodelus genus_asphodelus
n#11761007	enterolobium genus_enterolobium
n#11742745	genus_leitneria leitneria
v#00536535	afluixar destesar flaquejar
n#01051801	juxtaposició
a#00782216	borrós dèbil ombrívol tènue vague
n#12944590	genus_sison sison
n#11130940	Meriwether_Lewis
n#14350536	triquinosi
n#00002684	cosa objecte_físic objecte_inanimat objecte
n#14796575	grafit plombagina
n#07026239	música_de_cambra
n#02929289	contrafort esperó
n#13096863	teixit_vascular
n#07107083	metàfora_morta
v#00550117	canviar transformar abandonar
n#09931640	entrenadora entrenador míster
n#02256656	cigala
n#02898711	pont
n#03664943	lligament
n#11116466	Dorothea_Lange
n#06343520	títol
n#01463739	ectoderma
n#09504915	destí fat planeta
n#02267975	odonats
n#02047152	genus_uria uria
n#11085924	Sant_Joan
n#02748618	àcid_acetilsalicílic aspirina
n#07520612	horror pànic terror
n#04639732	inclemència rigor
v#00504901	nitrificar-se nitrificar
n#01094575	oferta_inicial
n#04664314	precaució
n#09770179	ajudant_de_camp ajudant
a#00356110	ionitzat
n#13521616	nitrificació
n#10266486	litògraf
n#01542786	teixidor
v#00724832	admirar esbalair meravellar sorprendre
v#00146138	convertir-se transformar-se
n#04792357	adequació
a#00792769	superior
v#01637166	creure pensar
n#15203017	any_lunar
n#07300494	error_sintàctic
n#09363064	estel_múltiple
n#11810559	genus_hernaria hernaria
n#09791530	analista
n#14921622	invertasa
n#05931152	fractal
n#05317354	còrnia
n#07999699	conjunt
n#00149262	despreniment desunió separació
v#01100952	arrasar
n#06843520	punt
n#07515974	relaxació
n#07410745	bolet bufetada mastegot
n#08378356	taxonomia
v#01088005	apaivagar aplacar desarmar
n#10737964	unicorn
n#00394485	descontaminació
n#14794823	èster_de_cel·lulosa
n#07017161	tragicomèdia
n#11239143	Sylvia_Plath
n#05916155	suggeriment
n#02508615	bassariscus genus_bassariscus
a#02036578	honrat just recte
n#10546850	àngel sant
n#07647602	faisà
n#01694430	varànids
a#00432626	semitransparent translúcid
n#00798245	campanya moviment
n#10303037	matrona
n#02171254	lamel·licornis
n#11006231	Samuel_Gompers
v#02145814	amagar-se amagar encobrir tapar
n#00605246	tresoreria
n#01947020	genus_neritina
a#02008615	reflectit reflex
n#08373544	clau combinació
n#00039297	contacte
n#01220984	actuació comportament conducta
a#02810739	templar temporal
n#08812399	Trentino-Alt_Adigi Trentino-Alto_Adige
n#11316003	Frank_Stella
n#10315382	milady
n#08941681	Les_Ardenes
n#05148539	improductivitat
n#14820180	formigó
n#11293008	Mack_Sennett
a#01130261	angèlic angelical sant
n#09165613	Zàmbia
n#01874928	opòssum sariga
n#06574231	compilador_de_Pascal
n#01650509	genus_hyla hyla
n#12122124	genus_glyceria glyceria
n#15183428	dia_de_festa dia_festiu
n#01098404	mercat_laboral
n#11466701	onada_de_calor
n#05579053	múscul_bíceps_femoral tendó_de_la_sofraja
n#01718096	deinonychus
n#07796165	salmó_roig salmó_vermell
n#11193392	Moisès
n#13155175	espata
v#01411085	assotar fuetejar
n#13080174	blastomyces genus_blastomyces
n#01010901	disposició distribució
n#08775784	Prússia
n#01397497	alga_de_mar
n#08158460	Stuart
a#00022437	exacte precís
n#03839671	observatori
n#14715356	picadura tabac_picat
n#01382839	genus_borrelia
n#10104888	patrona
n#02212323	vèspids
n#06359096	pàgina_d'inici
n#03779370	matriu motlle
n#12094786	genus_lysimachia lysimachia
n#04221424	argent plata
n#01169744	confrontació oposició
n#11690612	sèpal
a#02756346	local
n#11064106	Henry_Hudson
n#12009250	genus_santolina santolina
v#00451648	buidar desembocar desguassar drenar
v#02386845	socialitzar
n#05845332	gènere
n#03159331	daguerreotip
n#08302052	UNESCO
n#06474122	enquesta qüestionari
n#03699396	àcid dietilamida_de_l'àcid_lisèrgic lsd
n#07905474	schnapps
n#13688944	unitat_monetària_nigeriana
v#01156834	consumir ingerir prendre
n#11638902	genus_libocedrus libocedrus
n#03139464	joies_de_la_corona
n#03357081	pantalons_de_franel·la
n#09484313	criatura_hipotètica
n#03646809	comuna excusat latrina
n#02952585	sala_d'esbarjo
n#04287153	bec broc brollador galet gal sortidor tòt
n#07233863	anatema
n#07247602	sensacionalisme
n#06341525	senyora Sra.
n#05032193	aguant ànim coratge
n#13820544	relació_d'aspecte
n#10418101	personificació
n#08989941	Tahití
v#00904046	descarregar exculpar
n#11846970	ferocactus genus_ferocactus
v#01371756	xutar
n#15134691	escala_temporal
n#00748307	dissolució llibertinatge
n#15191233	vigília_de_Tots_els_Sants
n#07912093	Dom_Pedro
a#02035337	injust
v#01367616	subjectar_amb_uu_clip
n#05021884	mal·leabilitat plasticitat
n#12525347	genus_derris
n#07280754	motet
n#02373601	èquids
a#00205033	cregut
v#00025654	relaxar
n#02490686	cebuella genus_cebuella
n#06834885	theta
a#02961505	hongarès magiar
n#07210225	protesta
n#14689493	torba
n#04025748	laxant purgant
n#07447641	festa
n#08182716	concurs gentada massa multitud munió tracalada turba
v#02651193	cohabitar conviure
n#00552312	escamoteig joc_de_mans passapassa presdigitació
n#05023404	torpor
n#06833112	s
n#07926785	mate
n#10305523	practicant
n#08207095	pentàgon
a#01260873	sobrehumà
n#10357012	newtonià
v#00935987	esclatar divulgar-se sortir_a_la_llum
n#03272010	guitarra_elèctrica
n#13913427	raig
n#00102374	jam_session
n#15248269	època
n#12085469	genus_trichoceros trichoceros
n#09937903	colonitzador
n#13763384	mínim
v#01093172	guerrejar
n#05416198	saliva
v#00095377	brostar brotar nàixer néixer rebrollar rebrotar
n#08871007	Anglaterra
n#03385117	formació
a#01859801	confidencial intern privat secret
n#09120207	Coney_Island
n#13594585	puntuació resultat
n#11081353	Joana_d'Arc
n#02809491	testimoni
n#04043733	aparell_de_ràdio ràdio radioreceptor
n#10105462	endeví
n#06605780	doble_sentit
n#10120330	escombriaire recollidor_d'escombraries
n#15141213	mil·lenni
n#09838370	insolvent
n#08275185	escola
v#02388764	sofisticar
n#14516501	condició_ambiental
n#09935990	col·lega companya company
n#04006411	calador cala sonda
n#06139491	psicofísica
n#11695485	asimina genus_asimina
v#00740577	comunicar-se comunicar
n#08593924	línia
n#04167122	almàixera planter viver
n#02606194	pomacèntrids
n#13474858	enuresi
n#10402417	col·laborador cooperador coparticipant soci
n#06834565	èpsilon
a#02029438	esquerra
n#10115748	professor_titular titular
n#04819694	expressivitat
n#13469066	metàtesi
n#00313245	travessia
a#01230616	incapaç ineficaç inepte inútil va
n#01176219	superació
n#12396666	genus_cannabis
n#06505705	records
n#00312160	excursió
n#07255027	claudicació rendició
n#15128363	ordovicià
n#14604454	cisteïna
n#13394792	obligació_de_l'estat
v#00901103	presentar
n#11132768	Jenny_Lind
v#02162434	atordir encegar enlluernar ofuscar
n#03590588	caixa_sorpresa
n#13845838	asincronia asincronisme desincronització
a#00113245	derivacional
a#00318498	caulinar
n#11229323	Samuel_Pepys
n#11352192	Anne_Robert_Jacques_Turgot
n#02796995	bar
v#01679669	enllardar entatxonar
n#01998183	percebe
n#00612160	medicina
n#04675193	complexió
n#12163824	meló
n#03976960	pol_magnètic pol
n#03233905	calaix
n#09328746	llacuna
v#00925110	preguntar-se preguntar
n#12362844	dil·lenàcies
n#07594511	menjar_per_endur-se
n#13713521	bel
n#05309392	paladar_tou vel_del_paladar
n#14842847	foc
n#03900194	patruller
n#10453357	marginat pobre
n#09240272	Cepheus
n#15103485	wollastonita
v#01796033	rabiar
n#01921887	cucs
n#00984609	descoberta exploració reconeixement
n#05052587	constància continuïtat
a#03137558	comercial
a#01128406	entremaliat revoltós
n#07897116	retsina
n#03268470	colze
n#02962545	carta
n#01141366	aprovació_de_préstec
n#06697331	grau_acadèmic
v#02709573	hivernar passar_l'hivern
n#07345960	jitter
n#08287844	civilització cultura
a#01092572	dolent mal
a#01152746	tou
n#00604424	ponència
n#03336070	mascaró_de_proa
v#01640855	completar portar_a_terme
n#10924649	Jefferson_Davis
n#07822687	bitxo
n#10578471	senador
n#11773987	baladre
a#00927373	actiu
a#00494027	individualista
v#00022686	estimular vigoritzar-se vigoritzar
n#10261388	gavarrer
n#02820432	jaç
n#05927364	antitip antitipus
n#04735556	varietat
a#00325619	caut cautelós
n#09337833	Lleó
n#14415518	estretor_d'esperit visió_estreta
n#09540739	elf follet gnom
n#11910070	dicentra genus_dicentra
n#15169248	ocàs posta_de_sol
n#14588219	col·loide
n#14108713	aterosclerosi
n#01786219	genus_geophilus geophilus
n#13812607	parentesc parentiu
n#14224757	dermatitis
v#00905283	fer_fora
n#08479615	revista
v#01045419	gemegar gemir protestar queixar-se
n#03794136	espuma_dels_cabells fixador gomina
n#11209306	Greg_Norman
n#05685538	enigma misteri
n#04551205	warfarina
n#02928608	botó
n#09957834	inconformista
n#04767805	periodicitat
n#09568241	Pan
n#08061042	negoci
v#01677716	penjar
n#07268166	cinturó_negre
n#05302307	bec
n#02289061	genus_pyralis pyralis
n#01815036	colom_missatger
v#01304342	embenar faixar precintar
n#04105438	sostre
n#01245159	genocidi
n#14819856	al·lomorf
n#10582507	serventa
n#11905989	genus_hunnemania hunnemannia
n#00360757	subtracció
v#01348838	passar_el_forrellat
n#12496207	genus_gymnocladus gymnocladus
